Name,Year,Certificate,Duration (min),Genre,Rating,Metascore,Vote,Boxoffice (Million $)
Sierra Burgess Is a Loser,(2018),PG-13,105.0,"Comedy, Drama, Romance",6.0,60.0,23586.0,23277.0
Beautiful Boy,(I) (2018),R,120.0,"Biography, Drama",7.3,62.0,23277.0,765.0
The Titan,(2018),TV-MA,97.0,"Drama, Mystery, Romance",4.8,33.0,22775.0,22676.0
Life of the Party,(I) (2018),PG-13,105.0,Comedy,5.5,46.0,22676.0,5286.0
Overboard,(I) (2018),PG-13,112.0,"Comedy, Romance",5.9,42.0,22438.0,5032.0
Winchester,(2018),PG-13,99.0,"Biography, Drama, Fantasy",5.4,28.0,22398.0,2509.0
Padmaavat,(2018),Not Rated,164.0,"Drama, History, Romance",7.0,63.0,22199.0,1185.0
Braven,(2018),R,94.0,"Action, Drama",6.1,61.0,21688.0,21680.0
The Sisters Brothers,(2018),R,122.0,"Adventure, Comedy, Crime",7.0,78.0,21680.0,314.0
The Mule,(2018),R,116.0,"Crime, Drama, Thriller",7.2,58.0,20741.0,10345.0
"Game Over, Man!",(2018),TV-MA,101.0,"Action, Comedy",5.4,32.0,20426.0,20370.0
The Girl in the Spider's Web,(2018),R,117.0,"Action, Crime, Drama",6.1,43.0,20370.0,1484.0
The 15:17 to Paris,(2018),PG-13,94.0,"Biography, Drama",5.2,45.0,20317.0,3625.0
The Strangers: Prey at Night,(2018),R,85.0,Horror,5.2,48.0,20208.0,2443.0
The Guernsey Literary and Potato Peel Pie Society,(2018),TV-14,124.0,"Drama, History, Romance",7.4,65.0,19898.0,19787.0
The Old Man & the Gun,(2018),PG-13,93.0,"Biography, Comedy, Crime",6.8,80.0,19762.0,1128.0
Gringo,(2018),R,111.0,"Action, Comedy, Crime",6.1,46.0,19746.0,497.0
Smallfoot,(2018),PG,96.0,"Animation, Adventure, Comedy",6.7,60.0,19588.0,8324.0
Night School,(2018),PG-13,111.0,Comedy,5.6,43.0,18794.0,7734.0
Tau,(2018),R,97.0,"Sci-Fi, Thriller",5.7,43.0,18768.0,18766.0
Summer of 84,(2018),Not Rated,105.0,"Drama, Horror, Mystery",6.7,57.0,18766.0,18690.0
